id,created_at,updated_at,timestamp,sensor_id,sensor_value,isanalyzed,count,time_since_boot,status_bin
4817405,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:55:28.141631+00,45568,1,t,12560,-336416928,1111111111001011
4817421,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:55:32.411891+00,45569,1,t,12561,-336412658,1111111111011011
4817425,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:55:36.977501+00,45570,1,t,12562,-336408092,1111111111111011
4817426,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:55:37.834349+00,45567,1,t,12563,-336407235,1111111111111111
4817457,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:56:09.647842+00,45601,0,t,3901,-1629683074,1111111111011011
4817475,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:56:19.976308+00,45601,1,t,3902,-1629672746,1111111111111011
4817480,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:56:21.744149+00,45598,1,t,3903,-1629670978,1111111111111111
4817482,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:56:44.638078+00,45598,0,t,3904,-1629648084,1111111111111011
4817483,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:56:45.428082+00,45574,0,t,12564,-336339642,1111110111111111
4817502,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:56:49.824425+00,45573,0,t,12565,-336335245,1111110011111111
4817506,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:56:51.081854+00,45574,1,t,12566,-336333988,1111111011111111
4817516,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:57:01.085787+00,45573,1,t,12567,-336323984,1111111111111111
4817530,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:57:07.296732+00,45598,1,t,3905,-1629625426,1111111111111111
4817570,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:57:31.769613+00,45572,0,t,12568,-336293300,1111111101111111
