,id,created_at,updated_at,timestamp,sensor_id,sensor_value,isanalyzed,count,time_since_boot,status_bin
0,4671949,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:30:59.044565+00,45600,0,t,3566,-1807593416,1111111111101111
1,4671950,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:31:01.024535+00,45598,0,t,3567,-1807591436,1111111111101011
2,4671953,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:31:09.641081+00,45600,1,t,3568,-1807582819,1111111111111011
7,4672020,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:31:59.57722+00,45598,1,t,3570,-1807532883,1111111111101111
8,4672021,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:31:59.57722+00,45600,0,t,3570,-1807532883,1111111111101111
9,4672026,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:31:53.444036+00,45598,0,t,3569,-1807539016,1111111111101011
14,4672091,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:32:48.968617+00,45598,1,t,3571,-1807483492,1111111111111111
15,4672092,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:32:48.968617+00,45600,1,t,3571,-1807483492,1111111111111111
16,4672106,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:33:11.90972+00,45600,0,t,3572,-1807460551,1111111111101111
23,4672148,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:33:38.608356+00,45600,1,t,3573,-1807433852,1111111111111111
32,4672684,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:41:01.363749+00,45597,0,t,3574,-1806991097,1111111111111101
33,4672691,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:41:11.552084+00,45597,1,t,3575,-1806980909,1111111111111111
38,4672818,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:42:54.812455+00,45597,0,t,3576,-1806877649,1111111111111101
39,4672819,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:43:04.965701+00,45597,1,t,3577,-1806867496,1111111111111111
40,4672948,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:45:05.757731+00,45598,0,t,3578,-1806746704,1111111111111011
41,4672970,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:45:15.311267+00,45598,1,t,3579,-1806737150,1111111111111111
45,4673036,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:45:50.576531+00,11-0,0,t,3580,-1806701885,1111111111111110
47,4673038,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:45:58.364375+00,45598,0,t,3581,-1806694097,1111111111111010
48,4673039,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:46:08.30723+00,11-0,1,t,3582,-1806684154,1111111111111011
51,4673042,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:46:38.258341+00,11-0,0,t,3583,-1806654203,1111111111111010
54,4673051,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:46:56.868892+00,45598,1,t,3584,-1806635593,1111111111111110
59,4673084,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:47:41.21836+00,11-0,1,t,3585,-1806591243,1111111111111111
70,4673303,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:49:36.142425+00,45601,0,t,3586,-1806476320,1111111111011111
71,4673321,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:49:46.312565+00,45601,1,t,3587,-1806466149,1111111111111111
76,4673582,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:53:18.23088+00,45599,0,t,3588,-1806254231,1111111111110111
77,4673583,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:53:28.529184+00,45599,1,t,3589,-1806243933,1111111111111111
84,4673698,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:55:31.291105+00,45600,0,t,3590,-1806121171,1111111111101111
85,4673717,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:55:37.300172+00,45597,0,t,3591,-1806115162,1111111111101101
86,4673758,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:55:49.052056+00,45597,1,t,3593,-1806103411,1111111111111111
87,4673759,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:55:49.052056+00,45600,1,t,3593,-1806103411,1111111111111111
88,4673768,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:55:47.478386+00,45600,0,t,3592,-1806104984,1111111111101111
89,4673780,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:55:57.184145+00,11-0,0,t,3594,-1806095278,1111111111111110
90,4673781,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:55:57.184145+00,45600,1,t,3594,-1806095278,1111111111111110
94,4673789,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:56:29.986053+00,45600,0,t,3595,-1806062477,1111111111101110
96,4673791,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:56:36.367335+00,11-0,1,t,3596,-1806056095,1111111111101111
101,4673867,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:57:24.285296+00,45600,1,t,3597,-1806008177,1111111111111111
113,4673972,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:58:36.179208+00,45597,0,t,3598,-1805936284,1111111111111101
114,4673973,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:58:40.236376+00,11-0,0,t,3599,-1805932226,1111111111111100
115,4673974,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-14 23:58:46.350444+00,45597,1,t,3600,-1805926112,1111111111111110
123,4674170,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-15 00:00:29.266637+00,45597,0,t,3601,-1805823196,1111111111111100
124,4674172,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-15 00:00:39.41281+00,45597,1,t,3602,-1805813050,1111111111111110
125,4674173,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-15 00:00:39.51988+00,11-0,1,t,3603,-1805812943,1111111111111111
137,4675317,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-15 00:13:45.49903+00,45599,0,t,3604,-1805026965,1111111111110111
138,4675318,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-15 00:13:55.774418+00,45599,1,t,3605,-1805016690,1111111111111111
139,4675510,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-15 00:15:05.425129+00,45598,0,t,3606,-1804947039,1111111111111011
140,4675537,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-15 00:15:27.36213+00,11-0,0,t,3607,-1804925102,1111111111111010
141,4675538,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-15 00:15:35.562262+00,45598,1,t,3608,-1804916902,1111111111111110
146,4675611,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-15 00:16:22.733504+00,11-0,1,t,3609,-1804869731,1111111111111111
152,4675668,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-15 00:17:10.830697+00,45598,0,t,3610,-1804821634,1111111111111011
153,4675738,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-15 00:17:28.627565+00,45598,1,t,3611,-1804803837,1111111111111111
158,4675964,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-15 00:19:13.077188+00,45600,0,t,3612,-1804699388,1111111111101111
