,id,created_at,updated_at,timestamp,sensor_id,sensor_value,isanalyzed,count,time_since_boot,status_bin
1266,4831943,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:47:00.932211+00,45599,1,t,3956,-1615831810,1111111111101111
1267,4831944,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:47:08.73706+00,45600,1,t,3957,-1615824005,1111111111111111
1268,4831952,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:47:34.690368+00,45572,0,t,12680,-322490412,1111111101111111
1269,4831953,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:47:36.588285+00,45572,1,t,12681,-322488514,1111111111111111
1270,4831954,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:47:36.596419+00,45572,0,t,12682,-322488506,1111111101111111
1271,4831955,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:47:39.042877+00,45571,0,t,12683,-322486060,1111111100111111
1272,4831956,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:47:45.925783+00,45572,1,t,12684,-322479177,1111111110111111
1273,4831963,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:47:50.364335+00,45571,1,t,12685,-322474739,1111111111111111
1274,4832437,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:52:22.667201+00,10-0,0,t,12686,-322202436,1111111111111110
1275,4832447,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:52:27.037662+00,45566,0,t,12687,-322198066,1111111111111100
1276,4832463,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:52:28.007531+00,10-0,1,t,12688,-322197096,1111111111111101
1277,4832482,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:52:32.409923+00,45566,1,t,12689,-322192694,1111111111111111
1278,4832490,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:52:49.741318+00,45575,0,t,12690,-322175362,1111101111111111
1279,4832497,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:52:54.14377+00,45576,0,t,12691,-322170960,1111001111111111
1280,4832498,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:52:55.275949+00,45575,1,t,12692,-322169828,1111011111111111
1281,4832507,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:53:06.794548+00,45601,0,t,3958,-1615465948,1111111111011111
1282,4832509,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:53:12.604273+00,45571,0,t,12693,-322152499,1111011110111111
1283,4832519,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:53:16.961602+00,45572,0,t,12694,-322148142,1111011100111111
1284,4832522,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:53:17.229928+00,45601,1,t,3959,-1615455513,1111111111111111
1285,4832528,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 04:53:25.54026+00,45576,1,t,12695,-322139563,1111111100111111
